10010 10100
011110101111110010000001111010101011101010111010010001110101011110010011000010011111101110110110011111100110111101011111010001111100110011101011001011001111100111011 110000110110010111011111010000110011001100010010100010111011110101011100111010101000001100101000001011001010011111110001011010010111001100100100000111010110100010101
11000100101101111011001010001100111011101000110101110111011110001010101000110101011000100001111001000011101011010000011000100001001001000000001110000001000100101010100110 10010001000010110110011101110010001111000100100001101000001111010001011100001110010110011000110110101000000100100010100000010010011111101110110001010111100111100100111110
1110101001000011010000010100001011101011001111010111011001101001010101000101010000000111001001110000010001100101111110000110011011101111011101111000110111000100001101101010000 1010111011000001000101100010010110001001110010000011100110101011101011001101001111101101011111000010000111101010101100011011101010101011101110001110101001011100100101001110100
011011111010011111110110001101100110111110111101111101001000100101000000101011010101001001111101111111111011101110011001000000110010110101101000101010011001111010110110011001110101 001111111010100010111101100101101101010010011111110101101011110011110000111110110101001001011011110011011110110011101011110101010111110101010000001001010111001100000000110011110110
00000011011101101000101101111101110101101101011001000101000000001010010000100110001011111101001100100101110111110101010111010000101101110111001010001001101100111110011100010101101111000 11100111011110011111000100110010110111000000011010100110001011010100001011101001110111010100010001010001000111001001000110000000011011100011101101101111011111000010111011001110101001010
0101010011010110010111111100100111011001101110100110011101101110001100010101011100000101000110110001011110010101101001101100011001100010011000110100000111110000111010111001010101110110010101 0000110110110001110110000110101001100101001010100001011011100001101000011110010111010001110011111010000001101011101110101101100101110110010010100100010101101011000000010011000010011111100110
111001111000010001101111001100011000101110011001111111000111110100000010011101011011111010001110000001001010111010101001011100011110001111101110001011111110000101011110101101001111111111000010110 011010110001100011101111101110000111111101011100011010100111101010011001001110011000101000000100010100111101101011100111011111010001010111110001101111001011111011100010101010001011111111110100010
11101011001011010000111000111111001000011111010011001101101001010000101110101101111000111110000100100001001100010010101100011000001010101111100011011010001110101111100001001000011100110111101100110011 00110010001101100110000010010011001101011100001010001001011101001011011010110101101010110001100100101000101010110000100000101001000001111110111000001001011001110001110010000001111101010011110010000000
1011011001111000100000100000000010011101001000100101111011001001011100001011011001100011101111010100000110100100110011000110101110100111111100000000010101110011001101110110001100000100100110111011101000011 0110100100100001010000101000010100110010011110000001100110000111111000101011000101110001000110010001010100101011011111100100101101011110010011101001000111100111101001011001110100011010000000010011001011010
111111110000110001101110011001001101010100010111010110101010100011100001010101001101110100110101001101111000001100010000100010001100010000001010101110000011011010000000100001111011110011011101010010011000010100 000010001000100011101100010100110000010000110110101110010001101110010100010110011010100110111100000110110000000000001001010000111000001001000001011110110000100100000011001110010101001100101100100110000000101001
01000001010010101001000001110100110000111110000001011001100111100110011110000000110100011100010110111101000101010000010110110110010010100100011110001011100010100001100001111111011001001011010110111111011001100000100 11010111001101110011010010011100100011101011110110101000000010001001011010111110011111110101000011101011111111011111101000110101111001100110000110000100001111000111100001001110010111011100001011011111011110101110010
1110001111111111101010000011010010110100000110010100110000101001011100010010101110010100001100010110100011110101000110110111101001010110101011100011011001011011101000101111001000011000011110001010011011111000010001110111 1000000010111110011011000011000000101000101000001111011111110001000001100001111100010110010000100110010110000000011100101001100110011010001010100011100011000100110011000110100011101001101101000010100110101011110110100001
001101111111000000011101100010000011001000011001111011011001010100101111001110100010010010100101000100000100001001011110000000110100111101010010010010110011010001001111010011110000110100100101011101110000011110100001001000011 011011011001100101111001111000111011001001011101011101011100000011011101010011101001000011101011111101100100100001101101110111010010010011101001010001101110010001000110011100000011011000111110000100011011111001011110011111100
10100010101010011010001101101111101010110010010100000001000000011011101110010011101111111111001001000010001011111100110111000001110001111100011110000101001011110101110111000100011000100111000100001011111001111100001001100110000100 00101101111010011011011111110100101111110011010001101010110111101000110001110011100100001000111000011001001011110100110100011100101100011110010011010011110110000110100101011010010100001100001110010001011100100100001000001000101100
0010111011011110010000010101010001111011100101000010001000101001010011001111100010001100010101101101110001001000110101101111010001110100011100000010100011001111000011011000101001010001110011110100100100010010001101001100010001010001100 0001010110010110101011011111011000010011000011100101110001100010010011010110111111000001101001111111011101110111011000010110111010001110101111111010101011101011000011100000000010100010100110010010000010100100001100011110101101110101111
001110000110111010101010101001110111000001111100001110001110010011010110101100001111111101010001100010101111101000100000001100010101011111010111000001010001111111000010100010001110101011010000110010101011001011011100110011001001010010100011 001111101100000000011100011001100111010110110000010111011011000101001101011011100011001001100110111110010000011001011101110110110001100110011001100010010010110111010011101011001010100011101010011100011010011011110100010000011011100000010110
01101001111011010111101110000001001100010010110001100000011000000000111010111010001100100101011100001010111001111000010111001001010100001010100101011101011100000001111111110111001111100110100111101100001110000100110111011101100010010010111011110 11111110000001111011110011100000001111000011010010100001101000100001111111001001110100110000110000001101000100100011000111000011101000110001110010001001111100111101101001001010110010110110001101010011110111010011010111010001100100011111111000011
0001001101100000110001101100001000111111101010101000101010101011110100111100111100100100000110001111011001000111000001111011010111010111101110010011011011110100001001100001010011111111011100001110000011010100101010010100001001001011001100000001101101 0000100000010001001011101001111101100111111111100010100100101101111110100110010011000101011100101000101110011101000110010100000100100101101100100000010011101000100111110101001011010101000000111101001000001001110010010001011010110010000101000100111000
010001011100100111001000000001110110001011000111010011101111111111111001011111010011101101100000001010000011110000111111001000010011110100010001001000100110000000011001101011111110001101011010111000000011111001110000111100001101001100011010110000111001001 111110100110010011111101101111011001110010110111111100100001100111000101010000001111011100001110010011001000000111101101100110010101101000110000011110010100111010111110000000100000000010111000101010010011111000001100111100100101011011100100101011110011100
00010011111100110000000010001100001000110001111100100001010110100110110100011000010100000010000010101010000101111101100010110001011100000001011100110010100001011000101111001111111111000010111001001010100111101111001010100011110111101001010100010111100110001000 01011101110101001011100101101010001100000100101011010111001110111110010001100000010000001000000111110101100010010111001010000101111010011111110110001011001011010010110110010000011101001010000111110110101100011100010011001010001100110100110010110110010111011001
0001110010110101001101111010100000010111101010110101111001001001011101000000010011100110010100100010011000110101111100010000110010000010000111101000110010110111101110011100010011011001000111011010111001101011011111110011011100111010100001100011110110011000110111001 1001101001011010110110111100010111100000000011001000000100000100111010011110101000011100100010011011001011010100110011101000010000001100001011110100011101100001000100010000001010100100001100011000101111000000011110001001000111111110111100011001110000100001111010101
011100111000010111001010011100010110111101010001010110011101101110010100010000111001011010101010100011000001001110011111111000110111100010000100000001101111110000010110110001011010110100110010111000000010111011101000011000001110110100011010110011001010100000101011001000 010001011001000010010000111111010110100111100010011110010100110110110011111000001010111000101111001011111010100110111101001011011000001001110100110111000110100011100110010001101100010111101010000101110111110001100100100000101101101110001010101011100100000111011111111011
01110110110111111001011001001000001111101001001000100001111110100011011010000000010111001111101100001110011110010010100010010001011001000110111100110101011001100100100010011001011000111110000000000001010100001101011000000100000101010011011100011011011101101011110111111000001 00010011001000001100110000001011001110011101010011101100001000110010010111010110101001011001110100000110111111111010101001110011001010111100100110111001001111111000110000101110100100101111000110100001011010100100101010111001010100001101111111101000011011010110100000100000101
1100101010001110101110101101001011110111010001010101010110001010111011000111101100111011101000101111001110011010011011111101101110001011010100010000111001101101001110101010001001011011011001011011101111100100010111101000001001110101000110110110000000001101100110010111101010010000 1001001010101000001010011101011011000011000001001010000101010011001111100100001011100110000010000101010011110111111000111111000001000110110011110101001011011110100000001100010100100100000110100110001000000110101011100111010010011010000100100100110011000011001101101001110110111111
111111000010110111100000010010000111001100101000000110001111111101100001101000011011000010101001101010100010101110110101000111100011010100101101100001111010101111111010110011010011111110011111000100000111011001111010111001011011010011100100111011001000000101000110101110110000010101011 100011010001110111010011001101101001100100000010011101011011111010101000001101110000011100011100111110010010010100000100010101000100000011101011110111101110100000100011111011011010010001000110100011001011010110001110111101100100110011010111101111111111110001110101111111100011000011010
10101011101101101010100111000000010010100000001101011101100001110110010011011010001000100101001110010100011100111001111111111000101101110100111110010000100001011111110100001100000100110011110100011001011101100010001110101110000011100101001011111000111010100111101011001000110110110010110110 01100011111010101010101011010101001111100101101100011111000100001110100000100100100011111011100001011000010100100101100100100011001010001000111111111101110001000011101011011101101001010111000001010011010010101101001011011011111001110110101100100111000101101110100010001000001100100001101101
0001011100101010100000010100010000101000000001111011110110000011001101101010110110001010100001010101010100110101111010011111010000101110111101011110110101000000000111010100001110001110111011111001011001010101100100010000010001000111011011000010111100000010001100101010101110000110100111011001101 1111011110111110010111100011011000111100011101111101011010101001101010000000101100000110000101101100011101100110011111010001011000110001100011101100011101001110101001111100110000001100011100010000101110111100110110001011010111101101010101100110101111111010110110100110011111001010101001100111110
011110100100110001001010100001110100010100011011101011001001011101100010101101001101101100011101101011110010010001101100010010010001001110110000000001000010110101111001111111100001100111100110000111111010101100000010011001011100011000010110110110000100101001010100010110101010100001001011000001110010 000010000110100011000101101101101110000011110110101101000100010011011100110100000001001001001101010001101100000101001010111001111100100011110000111110101010111110101100101101010101100001011110110010101100000110000101110001000001010000000101101101110111110010010101010110111110001101110000001011010000
10000011101010111000101000110110101111001011011011101010111001000000001111000101110001001001101001111111111001101100111111000010010010110001101000101000000100110111001000000010100100001101000010100111010011101110011001110101001010110101100010010010010110101100100111110001001000101000011110101011010001101 11100110000110110100011010000000011110011001011011111000101110010111010111100000110010000001010100100111010101110000100100110111111111001100011111001001100101001110111110011100100110011101000011111111011100110000111010111011101010011111001011100001011101010111100000000010111010100001011101101000011111011
0100111110101101101010000010101000111000010001011111111111010100001011100011010000111101101000110100100111001101001011111000100001001011000000010111110101011101111101110111101000100000111110011010000110100100001011000100011000000001000110000111001100101111101001110100010010000001010001100100110111010110110110 0101000111011000101010001000010001101010011110110001100110111001011001101011001100000101010011000000001100011111111010010101000101100100011010100010111111100000001011001010111100111101110110001111001010100100111100101011101001010110010111101101111011101110101110011010011011011011000100101100110011010101100111
100100010100100001100101001000111000000110110000011110101100011110000000100100111100000001000110101000110010110011100111001111010001101111011101110010001011110100111110001010011001101110010100010100101101011101111101110111010001101111101111100111001111110111000100011001010101111011010000111111100101010110000000011 001010001100010111000001110001011010100011110000001101011110111011011000110111000011111010110010001000100001111011100011111011000100010110110100111111011000100101110110001010101100111110111110110110000001011011000010001111110100111111000100101100010001100111011010000110101100101010110111100101111000010010001101111
01110001111110000001101110101100011011000001010111000110101100100010101110001010100111011100110011001110001010111001011001001110111110110000110000101111110110101100010001000000111111100110101000001011111101100010111000110111011100100001100101010001001101110001111000010111101000001010000110010101011110100100011010111011 10110100100110011001111001110100001000000110101001011111011101110010101001101011001010001100100010000100011001110111001101101010001000100101110011110110010110110011101011100100000100001010111011001011011110101010100000111010101100110001010100101000000111100001110000111111101010100001101100010101100111111111001010010001
0010001001101100000000101011000000001011010100100111000110001011000011001010111111011110111100010111101011111001100101101011101111111001111000011101000010001100111111011101000101001111010101101110000010010111111100000010110010011100001111000011001101000010001111000010011010110111010001110010000011101001101000111101101001101 0110011100010010011010011010010101000000101101010000110010001010000001110110000110111011100100110001101100000101101101110011100101000001000110011010011000011101010000000010001011011011000110111101100001001111111111101010001001110110111001011101110110001110001101100001000101101001010111101111110001101011110100001001111101110
101100101001001110010011010110001010101011001000111111111000101001010000001011001101100011001111110010110110110001101110101011100001010100010001011101110100111001010110000101100011101001001001110111011110111111100010100001001010011101111111000101100111110101001011011111111100001100000000110101010011100110010010010110000100101110 101110000101011110001110101000000001010110111010110010100000000110100111110011111111110001110011010000000001000001011101111001101110110111111001000111001011010101000111101011010101000001110011010111110110011000010101000000010100100101101110101101010101000110010100001101000111110011001001111110010010000100110110011010010100011110
00101001011011101001011010100101010000101011100110111010010010110110100000110011100001001011100110101100000001111101000010010011011110101111110011001100001000001100111000100101100011011101000111110100000001111001110100000000101010000011011110110000001110011010000011000000010101101111110011101000000001001010100000001100101001110110011 11101110000000000010111000110111111010001010010001110010011100100011000000001011000001110100011010110101011001110111101111011001011011011110110101000000010001010001101001100111111101000000100110011111110101000001001100100100000101000100011101101111101011110001101110111111110101101001000111111111111101101111110011101010100011111000100
1111100001010010001011110110010011110001100000001011000110101011011010001000110000111110000001001011101000000001101011111111101100110001000001101001110111110001100100001101001110011010111011101001101001011101101100110101001110000110001011011011100011011000001111110011110011100111110100110011111100100111111011101001011111000101011101010100 0011000011000101100101010010001100100101010010111101000011110111001111110110111010100111010100111001001100100001000111000100010011011010111110000100101101000101101011001111011011001100011001001101110100000001001001001010110001000000101100010011010110010111110000000111101110110101110111010100010111100110011000010100110000010011110011110000
101010110010101010000110001110000011000100110110010100100011110100011000110011100100110100100010110011111000010101001110001000010101000011011010011100101111011101010000011100000010111000001110000110010100100011000001101111010000001100001110100100001010010111110011010010110000011000110011111111100111111000010110010100110011101001000100010100000 101101110001101100010010001111001000000001101100011011001010101101010111001100101101111010101010110010101001111111100011100101011000101010100001101000100110111110110000001110101011110101001110111011101100100100011000010000100101001000100001011100111010110000111110111010111101101011010000011100000100110110010001100110010100011110000111101011100
11011101011100000011111110110000110010110101001010001000110100000000111000010100011011001001111010101001011111100110010100110100100110100001011100100011101100010000010100010001000000100000100010011000100110110110001011100011000101100000110100011011111110000111111010000111101111100001001001111110010111110010011111110000000111011101101010010011001110 00000001111000011010100000011011111001010111111110001110001111000110010111110001001111110101101111110001100111001111001000001101001001100011001110000001010010111011010100011000110001000101101000000000011101001010110010001111001000101111111011001000011000101011101001011111100010101010000010111111110011011110000000101001011010010110111010111001000001
1101101010000000101000010001001010111110010011000101110010100011111101010101101000110111001101100000000010101101010110011110101000110111111010101000101111010011111011000011100010101010111111001111111110000110011000001110101111100011111010010110111000001101011010101001110111110000011000100101111111100100011010010101100101011111001101000111110111101111110 0011101111110110101011100011110100001110100111011010001001010101101001001111111110010100010010001001000001111010010001010000100000110011101110001110010001101110011000101011100000111101001000101011100100101100000111000110011101111001101100001001011100100000101100000101001001110110000010001110110000010000011000011101011101011100110010011100100001001011000
000101110010000110110111001111100001110101101000011000000111101110011000111000001011101010000100101100111011001001000001111000000001010110111110110010101000011000010000010101101001000100011001010110101010100111011101100010101011100011001100010110010100100111111011101111010000101010000001100000111001111010000101011010011010001100010110101111010101011010100010 010111101111011010010000111110101000100100001110110001010011110101000011010001101110001001111111100110000111000001000011000001011011110100000111100110100110100001110011010111001010000101100001010101111011111001000110110110101100011000010111101111111010100100111101111100001001010010101010010001111011001001101110000111110110010111110101101101000100111111011110
01010010010001101110010010100000110010111010001011001001101100101010010010101111100111010001101010110000010001011100110111110110100000011100110111101011011100001011011011000100011111010100000011110110011011111000000100001010101111000111000100110000000001111100110111000010001000100110101101101100010000110100100010001011101010111100111111111101001110010011100000011 11010101001101111000010001011101000101010010010111001110111110001011100010101110011001110101100111110111011011110111000001001111000101011000000011110011010001111110000001101000011010100101010101000110000100111011011001000010010110000101001011000101101111001010001011000001100000111001100110000111010110111000000100001001011101010011111100001101001110001010000101111
0010110000100101100010101011001111100011111111111111000000000100001001111010110100001111011100110111111000011110101110011011110110000001001000101011000111100110101110111011000010111010100111011110000101000111110001001001000110001100011000110001101110011001101000111011011101111010001110001001101010001111001110001100100100101110101100011101011011000110101001100101111011 0000011011000111000100110101000001100111001100111100011010000111010001110101100010101111101111011011010100110001110111011101000000000011100100010100010101100111111100000011000000000110000100011011101111001100000100110000100000010110011100101101001010011111011011010011010010011101010111111010001000000011011000010101000011111100100101101001100010011100011111000000011111
101111100110010011010100000011111011101000101110000111010001110101010110010010111111111010111011111011100000001100000101010011100110001011101011101101001111100001011101101101111000011000101000000001110110000110000111101001001101000010010101111010110010111111000100000011010100011101111000010001111110100001010011001011001100111111011001101100101010001101011110010011011110100 010100010110101101101110010000101111010010000111010100000001101110011000101000101011101010000011111110111111000111011000001011101001110011101111101101001001110100010010111000111110101110000111000100001001001011010000001001010110001010111110001010110000001110010111001001011110010001111000111111110110011001011010110001000100011000111101001110100101001100010000101111100010110
01000111111011001010010001000011001011001101010011001011101011110010111100001000110011111001001100011011101000100100111011111010110111101001000010110001110000000001001001010011101000011111101000110011100111110111101010000011000011100110111010011011000101100100101011000101110110000110110001011000111110111100100001010111010101100010101101111000111111100100010101001101110011000011 00100100101101011100000110100100000100111000001010010010001110000011110001101101011100011100010110010100011111000101010110111010110010001001000001101011000001100100110011111110001101110000101111010110110100111101001111101001010011100100000110110011000110000000001101000000100100110011111000111100010011001000101010111010110110011110010100111110101000001100000100111011101011010011
0111010100011101011100101111111010111001001010001111001000101001111101100101101001111100100010011110110000110110101110100100110010111111100011011001010001010011011101000011111110100001011011101110000101000101101100010111001000011011001101011011100000100110001001101110011001101100010001101101001101001100110100011110110001100111101110100111101011010010010111010101110100010011101110101 0110110110100011000011101111001110010111011011100011110000011011110110110000010011110101001100101011101110011111011001000000100111011110110101101100010100001000101100010001010101100000000011000111101100101101101100011001001111010001010011011010011100010010000000011001111100000010110010001011011111110110100111100110000100100011000001101011010001010100011100100001111011011011110000001
110011101000110111101000000000101110100010101110101001100000111100010001010101110110100100111101001101000010100001010000011111110011110110101111110000001101101011011111000001101010011011001010001100101110101101000110101110000111000001110111100111001101011101001100110001111011101011011010000010001100100011001001110101001111000011110110100011101010001010001001111110110010111100001001001110 101111100110110101010110000101001000100010001101010111001000101100111000110101110110101000000111001101001111010001001110111001011011100000101110110111100000100111111111001101110010011111011011110100100110001101111000111000010111001000111011100011111000101111010000001011010010110101101111100010000000110110001000101100100101000001001111100000101100000110010001110101011111010111111100100000
01001110011101100000010100101100010011011000110000010110011100101011010111110111011100100101110001101110110100000110111010101010111010100101001100110010010000111101100011010000100101111101011011100001001011101000100101001011010011011100001011000110110100101100000111100000100001100001000111011101110001110111000001010000110001011100111010110001011010101101111011011110101111000011001111011111110 00011101111101011110110111101011110011001000110000110110000010000111101100011000110001000001110110001100011100000011110100101010100110011001010101001110100101111001111110011110000110111100111011111111111000101111011100011101011000101100011110010101100001001001101001010101111001111010100011011110000100101000010010111110010111110110001100100101110010011010111011100001101110111010000011111110010
1010111011101100101000101101000110110101101011111010101101000111101010010101000100000010110111111111100110010101101110011101110011111011100001001111011101011100010101111101011000011110011101001111010000101010001100100010100001000000000110101110100101011001010000010011001011010101000000111110001000101010101100000000001010111001001001010101011000101010000111100011101100000011111111101100010100010011 1010100010101000000101011000100001011011011001001000110111111001100110111000010100101111001000110011010101000001111100000101101001100111100001101010011111110111010000010011111110100011111011101011010001110100100001011101100100101011011000100001010110010001101100010010010011101011100000001100011111011110110110011011011000011110011100111100100101100010100110001010001000000011011110000111110011010101
010010101110110101010000100010111101011001101111000101111110111100111011100010010001010001001111110010101001001001110111001010110001001000101110011110100100000101000010011001010110110011001101101011100000101011100101001111000101100001010100100011101010100111100000001111011011110000010000100110000111001101011110111111111110110111001011110011010011100010001110010001010100101001111011111101010000110111011 001010101000010110111010011000110110100000001010001100111011101100010010111001110110011001010111000000111001001010100000110101110000101010011000000001101000011100001011010111001110000101001011101001010000001100001100011000000111000100001010000010010000000101001010011111111000011110101110011011010011110011000101011100111110110001001111000001100111110111110111001011011110111101111001001110000110101101100
00001001011110011001111000010000101001000111101011101100110000110010111111100001111011001010000001010100010000111010110000011000100111010000111000011001100000110101110110100000001101101111100110010001111111111011010001011100000110100111101101101101001111110011001000110110101011111000010001101000010011011100011101110100100010001011011100001111100100100111101000001011101010000010001010001101111000111010010011 11001111010001111110000001000010000011101110110000100001110000101101001001110101000100010010000001101000010101111001010110001001010010000100111100101110010111000000001101100101101001001111111001011110001010100101110010010011001011101101001100000100100101100000101011011101111111101110010100111011110011000000010011101010111001001010001101110001111001110111101001110000101100110000011100011101110011001111000000
1110100101000101111011001011000111001001111111010101111000000011001101110001100110101101011110111001101101110111111011001000101101110010010100110101110001100100110001111111101000010000101000101011000001000101110001111001001010101001110011100011100110010011010001010000010111010101100000101010111111101110010001110000010110010100100101101010100110000001001000011110000101001001101010111110010100011000101011010000011 0101001001100111000101110100111100000100110101111001001100000000011011101100111001000100011111111110100100110011111001101011111101011000000100101010110110010010101111101010100100110011001100110000000110101100100111100001111101101011110000101111000111000111110000000000010110110100011001011001110010100001110001011001101000111100010101101101000110101111000011001101101110000111000110111011111111011111010001010101011
000110010111000001110111100010100010101101100011101000000001100110110100011111111110000111000100110010000111001001101101000011011010111011101100011110111001101111010100110000010101010110100100100110001100100001001110101100110010101100001000010100001011010011011010010110000101010111010110000010010000010100100000100000011101001110011001100101000000000101011011011111100000011010001011100110010110100010100000111001101000 111111010001101001011010111000111101001111100000000100001011001110001110111000000100101110011110011111000011110001100010010111101110000000011000110111100001101110011110101111101100010011001000101000101001001101111011000100000111001011111001010110110100111100101110011001010110000011100111110111011011000101000001010001010010110101101101111110011010000111110001100111010011001101111101110100010011101110101111101010100001
00010100100110011010010001111000000010000001111000000001000011000010011101100001110011010101000111111110100100011011100110010110011101100110000111010100010111101100111010100110100001100001110011001000100111110111101101110010101101011001110110110101011000100111101100100110110010010000101001010101001101011101100101001011001011010001001011011000011111010010100110000011000100000110011101110011010010010110011011101010101010010 01100011111101011110110100111110101001010111011011101011111001111000000111000001000111000001001111011010100101100111011111010011010010100100011100100110110100001011111001110100101010010111001110101110010110100110000100111101001100010001100110011001011111101101101001111001011100001110010101100110001011111111110100101010000110100011111101001000011011101010111011011011110100110110000001110100011011100001000111110110000111110
0000100001111001011010001000101101011000000110001100100110011001100001110110011101110101011011111101011010000111100000000010000001000110110110010100010011001100010110110000011010100100110100010111100011101111011101010001111001110101100101010110011110101101110100001101010010010100110100011111110101001001101110011011000111011010011110011011101100111001111101100110100110010100101110111100111111010000000000110001001110000111001010 0110110000101010100001000101011000001110001001010111100010000001110110110101000000011010011010100111110111111100101000111001001110100010111101010110101110111011000010001000100001111001010101100100000101111100010100101100100110011000110110101101101010101110011011000111011101010110000010101110111001100101110110001001001010010011110101001101101111000100011010001001100010001000011000110101000100100010010100101100001010101111100011
010001001001010001101000111000000001000100101001101001001000001000111110010100011000101000101000101001101101100100001110001100001011100000110001011111010101111011000011000000110001000000010000101101001100000000100111100011000111010001100010000000111111100110100110111000100010010110100110010010100000000001111110000111001110011001011010010011011110001101011100010011101000111110101001110010111110101100110111100110001010000001110010001 000011110011011010101100110110010000000001010011111011101010010110001111111001010101100111111000100011001100101111011111011111111100111101111000000000101110000111000000100011000001010000011001011110010111101010101010010011100111000000100000010001110011100110110110101100010010110100011110101110010100001000011100100000001100110101101111110100100111101001001100000001110000000100100001101100101010011100000001011100100010010110101111001
11011111110111010111111001001001110101110101100011100101000101110011011000111100001111001011100000100100111100100011101001100101011111010000001011111100000100001011100000000100101010110011101111000010001111001110101011000100010100001001100100110101100101011000011101101011010011000111000000111000110101110000111001001010111111111101001100111101011011011100010101101111110011111011010000111111101111101000111011010101010000001110011111101110 10001000100000111100100100001101101111011000100011011011100010110101010010011101110010010110110010011101110001111010101100110100100000110001000101111111001101101001111100110111100011010011110111011111100001100101100100111010110101011011100101011001100110001011111010001001110000111111011110101110100100111011101011100010000111111101000101001000011010110001110001100110010100111100111101110010101111011100011000100110110011100101101101101010
0010001101010110001100000010111101101100011010110001011011101011001010000111100101100111001100010110110000011100101011001010100111011111101101101111101010110100110101111011011111111110011000110100100000000101111010101010001110001100011000111100101100010101100111111110000111111111000111111001010000000000000010001010101110111110000100010010111100011000110010010101111100011000011101000001111011001011111111100111101110001011101001000110001110001 1001001111001111010111101110001100011110111000111110101000000010010101010110101001010010110001110101010010010000011110111010110011100110101010001010000000101001111101001000001101110010011100110111000011111010000000110000111100010000110010100000110000100011110110010101001000001010110010100001110100111010000001010110010110110011010000011101001110010010101111111111100011010001010100101010100011000110010100000011111010111011101011011011110001101
000010101100011101000100110100000101110010110001110110100110100100101111100100111101010010011001010111101101010110111110111110111101000111010011010101000111110110000000011100010101000101010101111101000100101011111111110000011100111000110000110110111010110011011111001110001100011101111100001111101010110001001101010000000101110010011011011111010010110000001000001101010110100001110110010101011110000000101110110111011111001010101111001000010001000001 001011111011000101111010010001100001000100001001100101110100110111100000111101000110010110100000100011000001001001111111001111011011100000011111000101100101011110100111101010001011011110000100011000010101010111010101000110111111101100010111001101011011101011011010100000101010000110101011001011010000010000010010101001011011011001010010010001111111011111111110111100100011010010001101100000001001000101011111000101011110101011000011110101110010111011
